epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
141,3591.86,0.78206,0.57687,1.30866,0.01603,0.92785,0.90091,0.96116,0.82444,0.60186,0.38085,1.20119,0.01138,0.00307,0.00307,0.00307
142,3617.29,0.7888,0.58155,1.32494,0.01595,0.9057,0.92002,0.96131,0.8244,0.6015,0.38086,1.20118,0.01135,0.0030205,0.0030205,0.0030205
143,3642.67,0.77673,0.57719,1.31488,0.0168,0.90539,0.92155,0.96133,0.8243,0.60104,0.38057,1.20126,0.0113,0.002971,0.002971,0.002971
144,3668.81,0.78229,0.57567,1.3191,0.01562,0.90801,0.9199,0.96076,0.82396,0.60116,0.37955,1.20095,0.01124,0.0029215,0.0029215,0.0029215
145,3693.9,0.76807,0.56394,1.31325,0.01618,0.90156,0.93018,0.96118,0.82473,0.60124,0.37882,1.20088,0.01124,0.002872,0.002872,0.002872
146,3719.86,0.78234,0.56903,1.32213,0.0168,0.90194,0.93421,0.96118,0.82472,0.60137,0.37802,1.20113,0.01125,0.0028225,0.0028225,0.0028225
147,3745.01,0.77397,0.57047,1.31807,0.01619,0.90171,0.93476,0.96137,0.82482,0.60087,0.37699,1.20113,0.01128,0.002773,0.002773,0.002773
148,3770.31,0.77906,0.57504,1.3202,0.01633,0.9066,0.92981,0.96118,0.82387,0.60058,0.37619,1.20131,0.01126,0.0027235,0.0027235,0.0027235
149,3795.53,0.78319,0.56784,1.31808,0.01632,0.90451,0.92898,0.96145,0.82468,0.60081,0.37639,1.20176,0.01121,0.002674,0.002674,0.002674
150,3820.72,0.76987,0.55792,1.30857,0.01658,0.903,0.93064,0.96159,0.82445,0.60092,0.37636,1.20224,0.01121,0.0026245,0.0026245,0.0026245
151,3846.07,0.75789,0.5536,1.3007,0.01628,0.9029,0.92905,0.96152,0.82483,0.60105,0.37673,1.20247,0.01119,0.002575,0.002575,0.002575
152,3871.42,0.78066,0.57618,1.32181,0.01649,0.90535,0.92981,0.9614,0.82431,0.60083,0.37679,1.20205,0.0112,0.0025255,0.0025255,0.0025255
153,3896.61,0.77072,0.56587,1.30565,0.01598,0.90594,0.92733,0.96135,0.82491,0.60113,0.37721,1.20203,0.01117,0.002476,0.002476,0.002476
154,3921.74,0.76154,0.55385,1.30723,0.01622,0.90565,0.92742,0.96152,0.82476,0.60154,0.3772,1.20221,0.01115,0.0024265,0.0024265,0.0024265
155,3947.11,0.75971,0.55762,1.30369,0.01591,0.903,0.92568,0.96155,0.82419,0.60113,0.37709,1.20199,0.01116,0.002377,0.002377,0.002377
156,3972.33,0.77158,0.56198,1.31129,0.01534,0.90203,0.92756,0.96152,0.82466,0.60139,0.3773,1.20194,0.01114,0.0023275,0.0023275,0.0023275
157,3997.75,0.76318,0.54639,1.30835,0.01614,0.90273,0.92734,0.96154,0.82466,0.60141,0.37784,1.2018,0.01113,0.002278,0.002278,0.002278
158,4022.81,0.76675,0.55415,1.31416,0.01625,0.90264,0.9263,0.96146,0.82506,0.60162,0.37829,1.20162,0.01113,0.0022285,0.0022285,0.0022285
